paper_url,course,semester,academic_year,paper_code,paper_name,final_status,struct_on_disk,flat_on_disk,action
https://ryzenstudy.com/papers/aktu-btech-sem-1-artificial-intelligence-for-engineers-2021-22,BTech,1,2021-22,KMC-101,Artificial Intelligence For Engineers,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-basic-of-electrical-engineering-2021-22,BTech,1,2021-22,KEE-101T,Basic Of Electrical Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-emerging-domain-in-electronics-engineering-2021-22,BTech,1,2021-22,KEC-101T,Emerging Domain In Electronics Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-emerging-technology-for-engineering-2021-22,BTech,1,2021-22,KMC-102,Emerging Technology For Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-chemistry-2021-22,BTech,1,2021-22,KAS-102T,Engineering Chemistry,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-chemistry-2022-23,BTech,1,2022-23,BAS-102,Engineering Chemistry,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-chemistry-2023-24,BTech,1,2023-24,BAS102,Engineering Chemistry,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-chemistry-2024-25,BTech,1,2024-25,BAS102,Engineering Chemistry,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-chemistry-2025-26,BTech,1,2025-26,BAS102,Engineering Chemistry,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-mathematics-i-2021-22,BTech,1,2021-22,KAS-103T,Engineering Mathematics I,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-mathematics-i-2022-23,BTech,1,2022-23,BAS-103,Engineering Mathematics I,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-mathematics-i-2023-24,BTech,1,2023-24,BAS103,Engineering Mathematics I,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-mathematics-i-2024-25,BTech,1,2024-25,BAS103,Engineering Mathematics I,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-mathematics-i-2025-26,BTech,1,2025-26,BAS103,Engineering Mathematics I,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-physics-2021-22,BTech,1,2021-22,KAS-101T,Engineering Physics,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-physics-2022-23,BTech,1,2022-23,BAS-101,Engineering Physics,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-physics-2023-24,BTech,1,2023-24,BAS101,Engineering Physics,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-physics-2024-25,BTech,1,2024-25,BAS101,Engineering Physics,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-physics-2025-26,BTech,1,2025-26,BAS101,Engineering Physics,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-environment-and-ecology-2022-23,BTech,1,2022-23,BAS-104,Environment And Ecology,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-environment-and-ecology-2023-24,BTech,1,2023-24,BAS104,Environment And Ecology,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-environment-and-ecology-2024-25,BTech,1,2024-25,BAS104,Environment And Ecology,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-environment-and-ecology-2025-26,BTech,1,2025-26,BAS104,Environment And Ecology,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-electrical-engineering-2022-23,BTech,1,2022-23,BEE-101,Fundamentals Of Electrical Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-electrical-engineering-2023-24,BTech,1,2023-24,BEE101,Fundamentals Of Electrical Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-electrical-engineering-2024-25,BTech,1,2024-25,BEE101,Fundamentals Of Electrical Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-electrical-engineering-2025-26,BTech,1,2025-26,BEE101,Fundamentals Of Electrical Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-electronics-engineering-2022-23,BTech,1,2022-23,BEC-101,Fundamentals Of Electronics Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-electronics-engineering-2023-24,BTech,1,2023-24,BEC101,Fundamentals Of Electronics Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-electronics-engineering-2024-25,BTech,1,2024-25,BEC101,Fundamentals Of Electronics Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-electronics-engineering-2025-26,BTech,1,2025-26,BEC101,Fundamentals Of Electronics Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-mechanical-engineering-2022-23,BTech,1,2022-23,BME-101,Fundamentals Of Mechanical Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-mechanical-engineering-2023-24,BTech,1,2023-24,BME101,Fundamentals Of Mechanical Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-mechanical-engineering-2024-25,BTech,1,2024-25,BME101,Fundamentals Of Mechanical Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-mechanical-engineering-2025-26,BTech,1,2025-26,BME101,Fundamentals Of Mechanical Engineering,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-fundamentals-of-mechanical-engineering-mechatronics-2021-22,BTech,1,2021-22,KME-101T,Fundamentals Of Mechanical Engineering Mechatronics,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-programming-for-problem-solving-2021-22,BTech,1,2021-22,KCS-101T,Programming For Problem Solving,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-programming-for-problem-solving-2022-23,BTech,1,2022-23,BCS-101,Programming For Problem Solving,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-programming-for-problem-solving-2023-24,BTech,1,2023-24,BCS101,Programming For Problem Solving,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-programming-for-problem-solving-2024-25,BTech,1,2024-25,BCS101,Programming For Problem Solving,OK,yes,yes,none
https://ryzenstudy.com/papers/aktu-btech-sem-1-programming-for-problem-solving-2025-26,BTech,1,2025-26,BCS101,Programming For Problem Solving,OK,yes,yes,none
